team,week,qtr,DriveNumber,GameClock,PlayId,Drpbk,Player,Hurried,PFFHit,PFFPressure
MIN,W1,1,1,14:55,1,1,EDGE A,TRUE,,
MIN,W1,1,1,14:51,2,1,EDGE A,,,
MIN,W1,1,1,14:11,3,1,EDGE A,,,Yes
MIN,W1,1,1,13:34,4,1,EDGE A,,,
MIN,W1,1,1,13:30,5,0,EDGE A,,,
MIN,W1,1,1,12:52,6,1,EDGE A,TRUE,,Yes
MIN,W1,1,3,07:13,7,1,EDGE A,,,
MIN,W1,1,5,03:35,8,0,EDGE A,,,
MIN,W1,1,5,03:03,9,1,EDGE A,,,Yes
MIN,W1,1,5,02:58,10,1,EDGE A,,,
MIN,W1,2,7,14:12,11,1,EDGE A,,,
MIN,W1,2,7,14:07,12,1,EDGE A,,,
MIN,W1,2,7,14:04,13,0,EDGE A,,,
MIN,W1,2,9,11:59,14,0,EDGE A,,,
MIN,W1,2,9,11:17,15,0,EDGE A,,,
MIN,W1,2,9,10:39,16,0,EDGE A,,,
MIN,W1,2,9,09:54,17,0,EDGE A,,,
MIN,W1,2,9,08:52,18,1,EDGE A,,,
MIN,W1,2,13,02:07,19,0,EDGE A,,,
MIN,W1,2,13,01:54,20,1,EDGE A,,,
MIN,W1,2,13,01:48,21,1,EDGE A,TRUE,,
MIN,W1,3,17,13:30,22,0,EDGE A,,,
MIN,W1,3,17,12:51,23,1,EDGE A,,,
MIN,W1,3,17,12:43,24,1,EDGE A,TRUE,,
MIN,W1,3,17,12:37,25,1,EDGE A,TRUE,Yes,Yes
MIN,W1,3,17,12:33,26,1,EDGE A,,,
MIN,W1,3,19,09:42,27,0,EDGE A,,,
MIN,W1,3,19,09:02,28,1,EDGE A,,,
MIN,W1,3,19,08:20,29,1,EDGE A,TRUE,,
MIN,W1,3,19,07:47,30,1,EDGE A,TRUE,,
MIN,W1,3,19,07:44,31,0,EDGE A,,,
MIN,W1,3,19,07:02,32,1,EDGE A,,,
MIN,W1,3,21,00:21,33,1,EDGE A,,,
MIN,W1,4,23,11:29,34,1,EDGE A,,,
MIN,W1,4,23,11:24,35,1,EDGE A,TRUE,,
MIN,W1,4,23,11:20,36,1,EDGE A,,,
MIN,W1,4,23,10:32,37,1,EDGE A,TRUE,,Yes
MIN,W1,4,25,08:27,38,1,EDGE A,,,
MIN,W1,4,27,05:15,39,0,EDGE A,,,
MIN,W1,4,27,04:33,40,0,EDGE A,,,
MIN,W1,4,27,03:52,41,1,EDGE A,TRUE,Yes,Yes
MIN,W2,1,3,08:46,1,1,EDGE A,,,
MIN,W2,1,3,08:16,2,1,EDGE A,,,
MIN,W2,1,3,08:12,3,1,EDGE A,,,
MIN,W2,1,5,06:38,4,0,EDGE A,,,
MIN,W2,1,5,06:04,5,0,EDGE A,,,
MIN,W2,1,5,05:08,6,1,EDGE A,,,
MIN,W2,1,7,00:22,7,1,EDGE A,,,
MIN,W2,2,9,14:02,8,1,EDGE A,,,
MIN,W2,2,9,13:26,9,0,EDGE A,,,
MIN,W2,2,9,12:47,10,1,EDGE A,,,
MIN,W2,2,9,12:17,11,0,EDGE A,,,
MIN,W2,2,9,11:39,12,1,EDGE A,,,Yes
MIN,W2,2,9,11:34,13,1,EDGE A,TRUE,,
MIN,W2,2,11,09:18,14,1,EDGE A,,,
MIN,W2,2,13,07:41,15,0,EDGE A,,,
MIN,W2,2,13,07:04,16,1,EDGE A,,,
MIN,W2,2,13,06:59,17,1,EDGE A,,,
MIN,W2,2,15,05:08,18,1,EDGE A,,,
MIN,W2,2,15,04:30,19,0,EDGE A,,,
MIN,W2,2,15,03:49,20,1,EDGE A,,,
MIN,W2,2,15,03:10,21,1,EDGE A,TRUE,Yes,Yes
MIN,W2,2,15,03:03,22,1,EDGE A,,,
MIN,W2,2,15,03:00,23,1,EDGE A,,,
MIN,W2,2,17,00:22,24,0,EDGE A,,,
MIN,W2,3,18,15:00,25,1,EDGE A,TRUE,,
MIN,W2,3,18,14:54,26,1,EDGE A,,,
MIN,W2,3,18,14:47,27,1,EDGE A,,,
MIN,W2,3,18,14:16,28,0,EDGE A,,,
MIN,W2,3,18,13:40,29,0,EDGE A,,,
MIN,W2,3,18,13:05,30,0,EDGE A,,,
MIN,W2,3,18,12:25,31,1,EDGE A,TRUE,,
MIN,W2,3,18,11:55,32,1,EDGE A,,,
MIN,W2,3,20,08:21,33,1,EDGE A,,,
MIN,W2,3,22,01:24,34,1,EDGE A,,,
MIN,W2,4,24,10:35,35,1,EDGE A,,,Yes
MIN,W2,4,24,10:29,36,0,EDGE A,,,
MIN,W2,4,24,09:49,37,1,EDGE A,TRUE,,
MIN,W2,4,27,04:37,38,0,EDGE A,,,
MIN,W2,4,27,03:53,39,0,EDGE A,,,
MIN,W2,4,27,03:05,40,0,EDGE A,,,
MIN,W3,1,2,07:49,1,1,EDGE A,,,
MIN,W3,1,2,07:09,2,0,EDGE A,,,
MIN,W3,1,2,06:28,3,1,EDGE A,TRUE,,Yes
MIN,W3,1,4,04:55,4,1,EDGE A,,,
MIN,W3,1,4,04:51,5,1,EDGE A,,,
MIN,W3,1,4,04:10,6,1,EDGE A,,,
MIN,W3,1,6,01:20,7,0,EDGE A,,,
MIN,W3,1,6,00:38,8,1,EDGE A,TRUE,,Yes
MIN,W3,2,6,15:00,9,1,EDGE A,,,
MIN,W3,2,8,08:07,10,1,EDGE A,,,
MIN,W3,2,8,04:31,11,1,EDGE A,TRUE,,Yes
MIN,W3,2,10,01:00,12,1,EDGE A,,,
MIN,W3,2,10,00:55,13,1,EDGE A,,,
MIN,W3,2,10,00:50,14,1,EDGE A,,,
MIN,W3,2,10,00:45,15,1,EDGE A,TRUE,,Yes
MIN,W3,2,10,00:40,16,1,EDGE A,,,
MIN,W3,2,10,00:34,17,1,EDGE A,,,
MIN,W3,2,10,00:29,18,1,EDGE A,,,
MIN,W3,2,10,00:22,19,1,EDGE A,TRUE,Yes,Yes
MIN,W3,2,10,00:19,20,1,EDGE A,,,Yes
MIN,W3,2,10,00:13,21,1,EDGE A,TRUE,,Yes
MIN,W3,3,11,15:00,22,0,EDGE A,,,
MIN,W3,3,11,14:21,23,0,EDGE A,,,
MIN,W3,3,11,13:42,24,1,EDGE A,,,
MIN,W3,3,11,13:08,25,0,EDGE A,,,
MIN,W3,3,11,12:29,26,0,EDGE A,,,
MIN,W3,3,11,11:43,27,1,EDGE A,,,
MIN,W3,3,13,05:00,28,1,EDGE A,,,
MIN,W3,4,15,14:14,29,1,EDGE A,TRUE,,Yes
MIN,W3,4,17,06:51,30,0,EDGE A,,,
MIN,W3,4,17,06:16,31,1,EDGE A,,,
MIN,W3,4,17,05:46,32,0,EDGE A,,,
MIN,W3,4,17,05:04,33,1,EDGE A,,,
MIN,W3,4,17,05:02,34,1,EDGE A,,,Yes
MIN,W4,1,1,14:56,1,0,EDGE A,,,
MIN,W4,1,1,14:01,2,0,EDGE A,,,
MIN,W4,1,1,13:23,3,1,EDGE A,,,
MIN,W4,1,3,09:36,4,1,EDGE A,,,
MIN,W4,1,3,09:11,5,1,EDGE A,TRUE,,Yes
MIN,W4,1,3,08:16,6,1,EDGE A,,,
MIN,W4,1,5,06:42,7,0,EDGE A,,,
MIN,W4,1,7,02:11,8,0,EDGE A,,,
MIN,W4,1,7,01:27,9,1,EDGE A,,,
MIN,W4,2,9,13:34,10,0,EDGE A,,,
MIN,W4,2,9,12:54,11,1,EDGE A,,,
MIN,W4,2,9,12:15,12,0,EDGE A,,,
MIN,W4,2,9,11:34,13,1,EDGE A,,,
MIN,W4,2,9,10:53,14,0,EDGE A,,,
MIN,W4,2,11,05:26,15,0,EDGE A,,,
MIN,W4,2,11,05:04,16,0,EDGE A,,,
MIN,W4,2,11,04:21,17,0,EDGE A,,,
MIN,W4,2,13,02:11,18,0,EDGE A,,,
MIN,W4,2,13,02:00,19,1,EDGE A,,,
MIN,W4,2,13,01:53,20,1,EDGE A,,,
MIN,W4,2,13,01:43,21,0,EDGE A,,,
MIN,W4,2,13,01:26,22,1,EDGE A,,,
MIN,W4,2,13,01:20,23,1,EDGE A,TRUE,,Yes
MIN,W4,2,13,00:36,24,1,EDGE A,,,
MIN,W4,2,13,00:21,25,1,EDGE A,,,
MIN,W4,2,13,00:17,26,1,EDGE A,,,
MIN,W4,3,16,12:18,27,0,EDGE A,,,
MIN,W4,3,16,11:33,28,1,EDGE A,,,
MIN,W4,3,16,10:48,29,0,EDGE A,,,
MIN,W4,3,16,10:04,30,1,EDGE A,,,
MIN,W4,3,16,09:33,31,1,EDGE A,TRUE,,
MIN,W4,3,16,08:50,32,1,EDGE A,,,Yes
MIN,W4,3,16,08:07,33,1,EDGE A,TRUE,Yes,Yes
MIN,W4,3,18,02:41,34,1,EDGE A,,,
MIN,W4,4,20,13:23,35,0,EDGE A,,,
MIN,W4,4,20,12:47,36,0,EDGE A,,,
MIN,W4,4,20,12:04,37,1,EDGE A,,,
MIN,W4,4,22,09:36,38,0,EDGE A,,,
MIN,W4,4,22,08:51,39,0,EDGE A,,,
MIN,W4,4,22,08:14,40,1,EDGE A,TRUE,Yes,Yes
MIN,W4,4,22,07:29,41,0,EDGE A,,,
MIN,W4,4,22,06:45,42,0,EDGE A,,,
MIN,W4,4,22,06:02,43,1,EDGE A,,,
MIN,W6,1,1,14:55,1,0,EDGE A,,,
MIN,W6,1,1,14:13,2,0,EDGE A,,,
MIN,W6,1,1,13:45,3,0,EDGE A,,,
MIN,W6,1,1,13:00,4,0,EDGE A,,,
MIN,W6,1,1,12:23,5,1,EDGE A,,,
MIN,W6,1,3,08:46,6,1,EDGE A,,,
MIN,W6,1,3,07:36,7,1,EDGE A,,,
MIN,W6,1,3,07:32,8,0,EDGE A,,,
MIN,W6,1,5,02:23,9,1,EDGE A,TRUE,,
MIN,W6,2,7,14:22,10,0,EDGE A,,,
MIN,W6,2,7,13:52,11,1,EDGE A,,,
MIN,W6,2,7,13:17,12,0,EDGE A,,,
MIN,W6,2,7,12:38,13,0,EDGE A,,,
MIN,W6,2,7,11:56,14,0,EDGE A,,,
