LotArea,OverallQual,OverallCond,YearBuilt,YearRemodAdd,BsmtFinSf1,BsmtFinSf2,TotalBsmtSf,FirstFlrSf,SecondFlrSf,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,TotRmsAbvGrd,Fireplaces,GarageCars,GarageArea,WoodDeckSf,OpenPorchSf,EnclosedPorch,ThreeSsnPorch,ScreenPorch,SalePrice
8750,7,5,1997,1998,1111,0,1417,1417,0,1417,1,0,2,0,3,1,7,1,2,511,60,0,0,0,117,210000
4500,6,5,1999,1999,883,0,1224,1224,0,1224,1,0,2,0,2,1,5,0,2,402,0,304,0,0,0,165000
8923,7,5,1998,1998,189,0,384,751,631,1382,0,0,2,1,3,1,7,1,2,396,256,0,0,0,0,177500
8100,5,8,1961,2007,764,0,864,864,0,864,1,0,1,0,3,1,5,1,1,420,132,0,0,0,0,135000
9000,4,7,1971,2006,240,0,864,864,0,864,0,0,1,0,3,1,5,0,2,576,200,0,0,0,0,130000
9439,5,5,1930,1950,324,0,912,912,336,1248,0,0,1,0,2,1,6,0,1,160,0,0,192,0,0,87000
9308,5,5,1965,1965,554,0,984,984,0,984,0,0,1,0,3,1,5,0,1,310,0,0,0,0,0,126000
8172,5,7,1955,1990,167,0,864,864,0,864,1,0,1,0,2,1,5,0,2,572,0,0,0,0,0,115000
9750,5,5,1958,1958,0,0,960,960,0,960,0,0,1,0,3,1,5,0,2,624,0,0,0,0,0,125000
7200,5,6,1938,1995,0,0,803,803,557,1360,0,0,1,1,2,1,6,0,1,297,0,65,190,0,0,125500
10215,4,5,1954,1954,492,0,864,948,0,948,0,0,1,0,3,1,5,0,1,248,0,0,0,0,0,111000
13500,6,7,1960,1975,429,1080,1602,1252,0,1252,1,0,1,0,1,1,4,1,2,564,409,0,0,0,0,235000
7590,5,5,1963,1963,0,0,1117,1117,0,1117,0,0,1,0,3,1,6,0,1,264,0,0,0,0,0,136870
13907,5,6,1940,1969,290,0,996,996,0,996,1,0,1,0,3,1,6,1,0,0,144,0,0,0,0,108000
8982,5,5,1977,1977,539,0,1040,1040,0,1040,0,0,1,1,3,1,5,0,2,748,0,0,0,0,0,134900
2760,6,5,1973,1973,0,0,525,525,567,1092,0,0,1,1,3,1,6,0,2,440,0,0,0,0,0,105500
6240,6,6,1931,1950,425,0,884,959,408,1367,0,0,1,0,3,1,6,1,1,560,0,0,0,0,120,127500
3300,4,3,1910,1950,0,0,624,816,0,816,0,0,1,0,2,1,5,1,0,0,0,33,0,0,0,58500
7200,4,8,1972,2006,385,0,385,875,0,875,0,0,1,0,3,1,5,0,2,728,352,0,0,0,0,117000
2645,8,5,1999,2000,0,0,776,764,677,1441,0,0,2,1,2,1,5,0,2,492,206,0,0,0,0,174000
7750,7,5,2000,2000,250,0,384,774,656,1430,0,0,2,1,3,1,7,1,2,400,180,0,0,0,0,180000
13695,5,5,2004,2004,646,0,1114,1114,0,1114,1,0,1,1,3,1,6,0,2,576,0,102,0,0,0,159000
6904,6,5,2005,2005,836,0,1358,1358,0,1358,0,0,2,0,2,1,6,1,2,484,192,36,0,0,0,213000
5925,4,6,1900,1950,122,448,570,761,380,1141,0,0,1,0,3,1,6,0,1,252,0,0,96,0,0,85000
7200,5,5,1950,1950,0,0,0,1048,0,1048,0,0,1,0,3,1,7,0,2,420,0,27,0,0,0,98300
9020,6,5,1964,1964,624,336,1248,1350,0,1350,1,0,1,1,3,1,6,0,2,520,176,0,0,0,0,168500
7800,5,7,1967,2004,450,0,864,899,0,899,0,0,1,0,3,1,5,0,1,288,64,0,0,0,0,130000
10768,5,8,1976,2004,1157,0,1437,1437,0,1437,1,0,2,0,3,1,6,1,2,528,0,21,0,0,180,218000
9600,7,5,1969,1969,0,0,1164,1164,0,1164,0,0,1,1,3,1,6,0,2,528,0,0,0,0,0,140000
8125,5,7,1965,2005,260,456,912,925,0,925,1,0,1,0,3,1,5,0,2,576,233,0,0,0,0,135000
9743,5,6,1969,1969,280,0,720,720,588,1308,0,0,1,1,3,1,7,0,2,484,0,0,0,0,0,146900
13300,5,7,1956,2000,377,0,928,928,0,928,0,0,1,0,2,1,4,0,1,252,261,0,156,0,0,132000
4571,5,7,1910,1950,168,0,616,616,616,1232,0,0,1,0,3,1,6,0,2,480,280,0,143,0,0,114000
4000,7,8,1930,1995,246,0,531,567,531,1098,1,0,1,0,2,1,5,1,1,216,0,0,0,0,0,148500
6978,5,7,1926,1980,0,0,850,960,0,960,0,0,1,0,2,1,5,0,2,576,0,0,116,0,0,103000
8730,6,7,1915,2003,0,0,698,698,698,1396,0,0,1,0,3,1,7,0,1,384,0,0,0,0,259,153575
10230,5,7,1925,1950,0,0,1054,1078,0,1078,0,0,1,0,3,1,6,0,1,264,0,0,0,0,112,125000
11250,6,6,1977,1977,767,0,1208,1208,0,1208,1,0,1,1,3,1,6,1,2,546,198,42,0,0,0,165000
5820,3,8,1955,2005,256,0,1162,1163,0,1163,1,0,1,0,3,1,6,0,1,220,142,98,0,0,0,126175
1476,4,7,1970,1970,176,0,546,546,546,1092,0,0,1,1,3,1,5,0,0,0,200,26,0,0,0,76000
6240,8,5,2006,2006,863,0,1324,1324,0,1324,1,0,2,0,2,1,6,1,2,550,192,38,0,0,0,254000
4435,6,5,2004,2004,662,0,848,848,0,848,1,0,1,0,1,1,3,1,2,420,140,0,0,0,0,155900
9373,5,6,1953,1953,500,196,1152,1152,0,1152,0,0,1,1,3,1,6,0,2,636,0,0,0,0,0,137500
10200,5,7,1954,2003,320,362,1086,1086,0,1086,1,0,1,0,3,1,6,0,2,490,0,0,0,0,0,144900
10180,5,6,1968,1968,744,0,912,1044,0,1044,0,1,1,1,3,1,5,1,2,372,200,48,0,0,0,139000
8777,3,6,1945,2007,0,0,0,640,0,640,0,0,1,0,2,1,5,0,1,240,0,0,0,0,0,84900
16466,5,7,1955,1955,0,0,816,872,521,1393,0,0,1,1,3,1,8,0,1,300,121,0,0,0,265,135500
12772,6,8,1960,1998,498,0,958,958,0,958,0,0,1,0,2,1,5,0,1,301,0,0,0,0,0,151500
5436,4,8,1922,2007,735,0,796,796,358,1154,1,0,1,0,3,1,7,0,1,240,0,96,0,0,0,125500
8532,5,6,1954,1990,1213,0,1297,1297,0,1297,0,1,1,0,3,1,5,1,2,498,0,0,0,0,0,153000
12095,6,6,1964,1964,564,0,1127,1445,0,1445,0,0,1,1,3,1,7,1,2,645,180,0,0,0,0,158000
2544,7,5,2004,2005,368,42,600,600,600,1200,1,0,2,1,2,1,4,0,2,480,0,172,0,0,0,149500
10206,3,3,1952,1952,0,0,0,944,0,944,0,0,1,0,2,1,4,0,2,528,0,0,0,0,0,82000
8239,5,6,1920,1962,176,0,1008,1060,185,1245,0,0,1,0,3,1,6,0,1,315,0,0,334,0,0,100000
8010,6,9,1958,2007,745,0,951,951,0,951,1,0,1,0,2,1,6,0,2,480,0,0,42,0,0,143500
9576,6,7,1945,1950,310,0,770,885,297,1182,0,0,1,1,3,1,5,0,1,378,0,0,0,0,0,120000
6768,6,8,1961,1996,832,0,912,912,0,912,1,1,1,0,3,1,5,0,1,288,168,0,0,0,0,142000
9240,5,6,1962,2002,612,0,864,1211,0,1211,0,0,1,0,2,1,6,1,2,576,161,0,0,0,0,144000
9556,7,5,1992,1993,0,0,1168,1187,0,1187,0,0,2,0,3,1,6,0,2,420,0,21,0,0,0,160000
10125,6,6,1977,1977,641,279,1196,1279,0,1279,0,1,2,0,3,1,6,2,2,473,238,83,0,0,0,171500
9947,7,5,1990,1991,611,0,1188,1217,0,1217,1,0,2,0,3,1,6,0,2,497,168,27,0,0,0,173000
6390,6,7,1954,1954,0,0,936,984,0,984,1,0,1,0,2,1,4,0,1,280,0,0,0,0,0,112500
8263,6,5,1920,1950,0,0,1012,1012,0,1012,0,0,1,0,2,1,6,1,1,308,0,22,112,0,0,118400
11425,5,6,1954,1954,486,0,1008,1008,0,1008,0,0,1,0,2,1,4,1,1,275,0,0,120,0,0,137000
11202,8,5,2003,2003,1029,0,1432,1440,0,1440,1,0,2,0,3,1,7,1,2,467,185,95,0,0,0,232500
10205,5,5,1962,1962,784,0,925,999,0,999,1,0,1,0,3,1,6,0,1,300,150,72,0,0,0,134500
8014,6,5,1978,1978,456,0,456,1034,0,1034,0,1,1,0,3,1,5,1,2,504,0,0,0,0,0,149900
8450,5,8,1965,2009,553,117,894,894,0,894,1,0,1,0,3,1,5,1,1,336,416,144,0,0,0,138500
10037,8,5,2006,2007,666,0,1460,1460,0,1460,0,0,2,0,3,1,6,1,2,480,0,20,0,0,0,247000
10500,4,5,1971,1971,432,0,864,864,0,864,0,0,1,0,3,1,5,1,0,0,0,0,0,0,0,115000
10895,5,6,1955,1955,648,0,972,972,0,972,0,0,1,0,3,1,5,0,1,305,0,0,205,0,0,122500
4224,5,6,1975,1975,769,0,1040,1040,0,1040,0,0,1,0,3,1,6,0,2,499,0,100,0,0,0,124000
7000,5,8,1978,2005,646,0,864,864,0,864,1,0,1,0,3,1,6,0,1,336,0,0,0,0,0,136500
7200,4,4,1971,1971,20,620,864,874,0,874,0,1,1,0,3,1,5,0,2,576,63,0,0,0,0,97500
10800,4,7,1885,1995,0,0,641,1047,0,1047,0,0,1,0,2,1,6,0,1,273,0,0,0,0,0,100000
16561,5,5,1996,1996,549,0,1097,1097,0,1097,1,0,1,1,3,1,6,0,1,242,306,0,0,0,0,147900
2160,7,5,1999,2000,600,0,672,684,720,1404,1,0,2,1,3,1,5,0,2,462,20,0,0,0,0,170000
6960,7,8,1940,1998,258,0,680,798,504,1302,0,0,1,1,2,1,6,2,1,224,0,0,0,0,126,165250
12400,6,7,1958,1998,585,0,1215,1215,0,1215,0,0,1,0,3,1,6,0,1,297,0,0,0,0,234,155000
11512,6,7,1959,2006,719,0,1019,1357,0,1357,1,0,1,0,2,1,5,1,1,312,0,0,0,0,163,177000
9571,5,6,1956,1956,739,0,1144,1144,0,1144,1,0,1,0,3,1,6,0,1,596,44,0,0,0,0,129000
7733,6,5,2005,2005,24,0,1142,1142,0,1142,0,0,1,1,3,1,5,0,0,0,4,50,0,0,0,139500
8550,6,8,1934,1950,574,0,816,816,0,816,1,0,1,0,2,1,4,1,1,240,228,0,40,0,0,129800
1936,4,6,1970,1970,131,499,630,630,0,630,1,0,1,0,1,1,3,0,0,0,0,0,0,0,0,84500
14137,5,5,1996,1997,450,0,1348,1384,0,1384,1,0,2,0,3,1,7,0,2,404,0,39,0,0,0,177900
8382,4,5,1956,1956,0,0,832,832,505,1337,0,0,1,0,3,1,5,0,1,263,0,0,0,0,0,108000
7700,5,5,1972,1972,138,468,882,882,0,882,1,0,1,0,3,1,5,0,2,461,96,0,0,0,0,112500
10140,5,6,1975,1975,788,0,1056,1074,0,1074,1,0,1,1,3,1,6,0,2,495,0,88,0,0,0,153500
2592,5,3,1976,1976,129,232,536,536,576,1112,0,0,1,1,3,1,4,0,1,336,182,0,0,0,0,85000
9037,8,5,2006,2006,428,0,1476,1484,0,1484,0,0,2,0,2,1,6,1,2,472,120,33,0,0,0,265900
8314,5,7,1982,1982,546,0,816,816,0,816,0,0,1,0,2,1,5,0,1,264,168,0,0,0,0,124500
7032,5,5,1979,1979,943,0,943,943,0,943,1,0,1,0,2,1,4,2,2,600,42,0,0,0,0,135960
7500,7,5,2004,2005,410,0,1221,1221,0,1221,1,0,2,0,2,1,6,0,2,400,0,113,0,0,0,185000
6756,5,6,1910,1950,0,0,481,899,0,899,0,0,1,0,2,1,5,0,1,200,0,0,96,0,0,78000
7936,6,6,1963,1963,826,0,1045,1045,0,1045,1,0,1,0,3,1,6,1,1,264,0,0,0,0,0,127000
12155,6,8,1925,1950,156,0,672,810,672,1482,0,0,2,0,4,1,7,0,1,400,0,0,254,0,0,140000
6762,7,5,2006,2006,686,0,1187,1208,0,1208,1,0,2,0,2,1,6,0,2,632,105,61,0,0,0,206000
5381,6,5,2005,2005,900,0,1306,1306,0,1306,1,0,2,0,1,1,5,1,2,624,170,63,0,0,0,196000
12803,7,5,2002,2002,922,0,1494,1494,0,1494,1,0,2,0,3,1,6,1,2,530,192,36,0,0,0,221000
3242,7,5,2003,2003,1000,0,1405,1405,0,1405,1,0,2,0,2,1,6,1,2,478,136,36,0,0,0,200000
6000,3,7,1948,2002,331,0,649,679,504,1183,0,0,1,1,2,1,6,0,1,308,0,176,0,0,0,120000
5000,3,3,1946,1950,299,0,666,666,0,666,0,1,1,0,2,1,4,0,0,0,0,52,0,0,0,64500
12450,5,5,2003,2004,836,0,1114,1114,0,1114,1,0,2,0,3,1,6,0,2,576,0,42,0,0,0,153000
11700,6,6,1968,1968,0,0,912,1152,0,1152,1,0,1,1,3,1,7,0,2,412,0,126,0,0,0,143450
9019,6,5,1994,1994,274,0,636,636,684,1320,0,0,2,1,3,1,6,0,2,472,0,40,0,0,0,150000
9535,5,5,1967,1967,194,982,1176,1458,0,1458,1,0,1,1,3,1,7,1,2,512,284,0,0,0,0,165000
9600,7,9,1928,2005,141,0,689,689,689,1378,0,0,2,0,3,1,7,1,2,360,0,0,116,0,0,161000
10429,5,5,1992,1992,330,0,624,624,663,1287,0,0,1,1,3,1,6,0,2,440,150,0,0,0,0,130000
3907,8,6,1989,1989,747,0,982,1034,0,1034,1,0,1,0,1,1,4,1,2,598,141,36,0,0,0,185000
10200,5,8,1940,1997,0,0,672,672,0,672,0,0,1,0,2,1,4,0,1,240,168,0,0,0,0,108000
6600,5,8,1982,2003,816,0,816,816,0,816,1,0,1,0,2,1,4,0,2,816,0,0,0,0,0,138000
15300,5,5,1965,1977,42,0,1068,1264,0,1264,1,0,1,0,2,1,7,1,2,528,0,0,0,0,0,169000
9140,6,5,1921,1975,308,0,629,727,380,1107,0,0,1,0,2,1,5,0,1,625,0,56,0,0,200,110000
3675,6,5,2005,2006,547,0,547,1072,0,1072,1,0,1,0,2,1,5,0,2,525,0,28,0,0,0,145500
8240,6,6,1960,1960,0,0,1179,1179,0,1179,0,0,1,0,2,1,5,0,2,622,0,0,0,0,0,110000
8000,5,5,1959,1959,433,95,528,1183,0,1183,1,0,1,0,3,1,6,0,1,288,0,0,0,0,0,138000
10500,5,7,1971,2005,349,0,372,576,533,1109,0,1,1,0,3,1,5,0,1,288,35,0,0,0,0,139000
13770,5,6,1958,1998,190,873,1158,1176,0,1176,1,0,1,0,3,1,6,2,1,303,0,0,0,0,0,137000
3215,7,5,2004,2004,280,0,600,600,600,1200,0,0,2,1,2,1,4,0,2,480,0,172,0,0,0,155000
12450,5,5,2003,2004,729,0,1094,1094,0,1094,1,0,1,0,3,1,6,0,2,576,0,0,0,0,0,149000
9000,4,7,1945,1950,0,0,0,998,0,998,0,0,1,0,3,1,5,0,2,460,0,0,140,0,0,89500
4435,6,5,2003,2003,672,0,848,848,0,848,1,0,1,0,1,1,4,0,2,420,140,0,0,0,0,143750
9360,6,7,1977,1977,841,116,957,1287,0,1287,1,0,1,1,2,1,5,2,2,541,302,39,0,0,120,173000
11355,7,7,1958,2001,637,0,1312,1312,0,1312,0,0,1,1,3,1,6,1,2,495,0,304,144,0,0,186000
10464,6,6,1980,1980,850,0,988,1102,0,1102,1,0,1,0,2,1,5,1,2,582,140,22,0,0,0,169000
5633,5,7,1925,1950,0,0,844,844,0,844,0,0,1,0,2,1,5,0,1,216,50,81,123,0,0,111500
1680,6,5,1973,1973,254,0,483,483,504,987,1,0,1,1,2,1,5,0,1,264,0,0,0,0,0,111000
9084,5,6,1941,1950,236,380,616,616,495,1111,0,1,1,0,3,1,5,0,1,200,48,0,0,0,0,95000
1869,6,6,1970,1970,321,0,483,483,504,987,0,0,1,1,2,1,5,0,1,280,0,0,0,0,0,106000
7200,4,5,1950,1950,0,0,576,864,0,864,0,0,1,0,2,1,5,0,1,528,0,0,0,0,115,105000
5784,5,8,1938,1996,0,0,190,886,0,886,0,0,1,0,2,1,4,0,1,273,144,20,80,0,0,91300
14419,7,5,1987,1989,904,624,1645,1479,0,1479,2,0,2,1,3,1,7,1,2,578,224,238,0,0,0,213500
6125,5,7,1939,1998,306,0,728,728,546,1274,0,0,2,0,3,1,6,0,1,224,0,0,192,0,0,135000
10594,5,5,1926,1950,0,0,768,789,0,789,0,0,1,0,2,1,5,0,1,200,0,0,112,0,0,96500
14585,6,6,1960,1987,594,219,1144,1429,0,1429,0,1,1,0,3,1,7,2,2,572,216,110,0,0,0,181900
17400,5,5,1977,1977,936,0,1126,1126,0,1126,1,0,2,0,3,1,5,1,2,484,295,41,0,0,0,160000
