"Name","position","college","jersey_number","birthday","age","coll_class","height","weight","hs_loc","hs_name","HS_recruitment","background_info","strengths","stats","GP","GS","pass_comp","pass_att","comp_pct","pass_yds","pass_td","qb_int","rush_att","rush_yds","rush_ypc","rush_TD","rec","rec_yds","rec_ypc","rec_TD","tackles","tfl","sacks","forced_fumbles","passes_defended","def_int","arm_length","hand_size","wingspan","forty_dash","twenty_shuttle","ten_split","vert_jump","broad_jump","short_shuttle","three_cone","bench","season","draft_year","draft_team","draft_round","draft_ovr","pfr_id"
"DWAYNE HASKINS","QB","Ohio State",7,"5/3/1997","21.99","rSO",75.375,231,"Potomac, Md.","Bullis School",4,"A four-star quarterback recruit out of high school, Dwayne Haskins Jr. grew up in New Jersey before moving to Gaithersburg, Maryland prior to his freshman year in high school to attend Bullis School. He became the starting quarterback there as a sophomore and quickly emerged as one of the top prep passers in the country. After earning Maryland Gatorade Player of the Year honors as a junior, Haskins completed 59.4 percent of his passes (170-of-286) for 2,217 yards and 20 touchdowns, earning consensus First Team All-State honors and finishing his career with 5,308 passing yards and 54 touchdowns. He was the No. 7 ranked pro-style passer in the 2016 recruiting cycle and initially recruited to Maryland during his junior year. However, two things changed: Maryland fired the previous coaching staff, including current head coach Mike Locksley who was his main recruiter; and Ohio State (Haskins’ dream school) made a hard push for him. Former Buckeyes head coach Urban Meyer called Haskins the “best” high school quarterback that he had ever seen. He flipped to Ohio State in the weeks before signing day and redshirted in 2016. After backing up J.T. Barrett in 2017, Haskins had a record-setting sophomore season in 2018. He skipped his final two years and entered the 2019 NFL Draft.","Special arm talent…long-levered, but has an efficient load-and-fire release with the ball exploding off his hand…unforced velocity to drive the ball to every inch of the field…throws receivers open with a natural feel for accuracy…large-framed, sturdy passer…sees the entire field and stands tall in the pocket to allow routes to develop…comfortable making high-to-low reads, resetting his eyes on the move…productive on throws 20-plus yards (45.6 percent completions, 14 touchdowns, one interception)…plays poised and confident, showing improved reaction to pressure as the season progressed…at his best in high-pressure situations, completing 71.4 percent of passes with 12.3 yards per attempt, four touchdown passes and zero interceptions in one-score situations in the fourth quarter…not a nimble athlete, but coordinated with his pocket movements…able to fire strikes on the move without sacrificing placement…remarkable production in 2018, becoming only the sixth FBS player to throw for 50 touchdowns in a single-season – his 54 career touchdown passes ranks fourth-best in Ohio State history.","YEAR (GP/GS) CP-ATT          CP%     YDS     TD   INT     CAR    YDS      AVG TD             NOTES 2016: Redshirted 2017: (8/0)     40-57        70.2    565     4    1       24     86       3.6     0 2018: (14/14) 373-533        70.0    4,831   50   8       79     108      1.4     4          Finalist for Heisman Trophy; Big Ten Offensive and Quarterback of the Year Total: (22/14) 413-590       70.0    5,396   54   9       103    194      1.9     4              HT      WT ARM         HAND WING 40-YD 20-YD 10-YD                         VJ            BJ         SS     3C      BP COMBINE     6033 231 33 1/2 09 5/8 79 1/2 5.04                 2.90 1.75               28 1/2        -          -      -       -    (no broad, shuttle or 3-cone – choice) PRO DAY     N/A (stood on Combine numbers; positional drills only)  ",14,14,373,533,70,4831,50,8,79,108,1.3670886075949367,4,.,.,.,.,.,.,.,.,.,.,33.5,9.625,79.5,5.04,2.9,1.75,28.5,.,.,.,.,2019,2019,"Washington Redskins",1,15,"HaskDw00"
"KYLER MURRAY","QB","Oklahoma",1,"8/7/1997","21.73","rJR",70.125,207,"Allen, Texas","Allen",5,"A five-star quarterback recruit out of high school, Kyler Murray, who was born in Bedford, Texas, put together one of the most prolific high school careers in history. As a three-year starter, he led Allen High School to three straight state titles with a perfect 43-0 record as a starter. As a senior in 2014, Murray was responsible for 6,198 yards (4,713 passing, 1,485 rushing) and 79 touchdowns (54 passing, 25 rushing), finishing his prep career with over 14,500 total yards and 186 combined scores. He collected several honors, including Texas and National Player of the Year Award by several publications. Murray was ranked as the No. 1 dual- threat quarterback recruit in the 2015 cycle and narrowed his college choice to Oklahoma, Oregon, Texas and Texas A&M, choosing the Aggies. His father (Kevin) was a four-year starting quarterback at Texas A&M and finished his career holding most school passing records (chronic ankle injuries kept him from a professional career). Kyler’s uncle (Calvin) was a first-round pick in the 1989 MLB Draft out of Texas and played five seasons in MLB (1999-2004). Kyler Murray spent only one season at Texas A&M before transferring to Oklahoma, sitting out the 2016 season. After spending the 2017 season as Baker Mayfield’s back-up, he had a prolific junior season, winning the Heisman Trophy. Murray was also a standout prep baseball player and was the first player to ever be selected for both the Under Armour All-America Baseball Game and Football Game. He would have been a top pick in the 2015 MLB Draft, but chose to attend Texas A&M, although he transferred before playing baseball for the Aggies. He played 51 games for the Sooners in 2018 and hit .296 with 10 home runs, 13 doubles, 47 RBIs, 46 runs and 10 stolen bases. Murray was drafted No. 9 overall in the 2018 MLB Draft by the Oakland Athletics and signed a contract, including a $4.66 million signing bonus, with the understanding that he would join the A’s following the Sooners 2018 football season. After his Heisman-winning season, Murray elected to forego his remaining college eligibility and play professional football instead of baseball (Murray: “Moving forward, I am firmly and fully committing my life and time to becoming an NFL quarterback”).","Boasts a whip of an arm with the velocity to deliver lasers…quick release, using various arm angles…naturally accurate, regardless if throwing with a firm base or off-platform…throws a catchable ball and his passes arrive with touch…on-target deep ball, dropping the ball over coverage and in the bucket…dynamic athlete with instant speed…sudden feet in the pocket to elude rushers…patient behind the line of scrimmage with innate instincts to sense pressure, falling back on his athleticism only when necessary…confident competitor and small window throws don’t intimidate him…incredibly productive 2018 season, leading the nation in total yards (school record 5,362), points responsible (342), yards per completion (16.8) and yards per pass attempt (FBS record 11.6).","YEAR (GP/GS) CP-ATT          CP% YDS           TD     INT      CAR   YDS     AVG TD            NOTES 2015: (8/3)     72-121       59.5 686          5      7        54    335     6.3 1             Texas A&M 2016: Sat out due to transfer rules                                                            Oklahoma 2017: (7/1)     18-21        85.7 359          3      0        14    142     10.1    0         Oklahoma 2018: (14/13) 260-377        69.0 4,361        42     7        140   1,001   7.2     12        Oklahoma; Heisman Trophy; Davey O’Brien Award; First-Team All-American Total: (29/17) 350-519       67.4 5,406        50     14       208   1,478   7.1     13               HT     WT ARM              HAND        WING      40-YD 20-YD 10-YD           VJ           BJ      SS     3C      BP COMBINE      5101 207 28 1/2 09 1/2                 69 1/2    -     -     -               -            -       -      -       -     (no workout – choice) PRO DAY      N/A (positional drills only)  ",14,13,260,377,69,4361,42,7,140,1001,7.15,12,.,.,.,.,.,.,.,.,.,.,28.5,9.5,69.5,.,.,.,.,.,.,.,.,2019,2019,"Arizona Cardinals",1,1,"MurrKy00"
"DREW LOCK","QB","Missouri",3,"11/10/1996","22.47","SR",75.75,228,"Lee’s Summit, Mo.","Lee’s Summit",4,"A four-star quarterback recruit out of high school, Andrew “Drew” Lock was a do-everything athlete growing up, but football and basketball were his top sports. He played varsity hoops as a freshman at Lee’s Summit and later attracted scholarship offers from several prominent basketball programs like Oklahoma, Missouri and Wichita State. Lock became the starting quarterback as a high school sophomore and ascended from a local standout to national recruit. He combined to throw for 5,791 passing yards, 63 touchdowns and 12 interceptions his junior and senior seasons, earning Kansas City All-Metro Player of the Year honors in 2014. Lock was ranked as the top recruit in the state and a top-10 prep quarterback in the country, receiving offers from Ohio State, Tennessee and others. However, he was a legacy at Missouri and chose to stay in state to play for the Tigers. Lock’s father (Andy) was a starting offensive lineman at Missouri (1986-89) where Andy Reid was his offensive line coach (signed with the New York Giants as an undrafted free agent but didn’t make the roster); mother (Laura) has a basketball background; younger sister (Claire) plays collegiate basketball at Missouri-Kansas City; grandfather (Jerry) played football at Missouri (1961-62).","Blessed with a golden arm and easy velocity…football explodes coming out of his hand with a quick, compact release…easily adjusts his arm angles without sacrificing ball speed…coordinated, quick-footed athlete, using his mobility to move the pocket or pick up chunk yards…NFL frame with room to add more bulk…timing/patience to allow routes to develop…trusts his arm talent to make tight-window and “faith” throws…matured football intelligence and hunger for the game…three-year team captain and handles himself with a calm, commanding presence…productive resume and starting experience.","YEAR (GP/GS)     CP-ATT       CP%    YDS    TD        INT      CAR   YDS     AVG    TD         NOTES 2015: (12/8)     129-263      49.0   1,332 4          8        52    28      0.5    1 2016: (12/12)    237-434      54.6   3,399 23         10       52    123     2.4    1          Team Captain 2017: (13/13)    242-419      57.8   3,964 44         13       44    111     2.5    1          First Team All-SEC; SEC single-season record for passing TDs; Team Captain 2018: (13/13)    275-437      62.9   3,498 28         8        55    175     3.2    6          Second Team All-SEC; Manning Award Finalist; Team Captain Total: (50/46)   883-1,553    56.9   12,193 99        39       203   437     2.2    9                                                                                         [3]              HT      WT ARM         HAND WING 40-YD 20-YD 10-YD                          VJ           BJ       SS     3C     BP COMBINE     6036 228 32 1/2 09             77 1/8 4.69         2.74 1.61                31           09’04”   4.12   7.03   - PRO DAY     N/A (stood on Combine numbers; positional drills only)  ",13,13,275,437,62.9,3498,28,8,55,175,3.1818181818181817,6,.,.,.,.,.,.,.,.,.,.,32.5,9,77.125,4.69,2.74,1.61,31,112,4.12,7.03,.,2019,2019,"Denver Broncos",2,42,"LockDr00"
"DANIEL JONES","QB","Duke",17,"5/27/1997","21.93","rJR",77.125,221,"Charlotte, N.C.","Charlotte Latin",2,"A two-star quarterback recruit out of high school, Daniel Jones was a standout in football and basketball at Charlotte Latin. He finished with school records in passing yards (6,997) and total touchdowns (98) and earned all-state honors his junior and senior seasons, leading Charlotte Latin to back-to-back Division I state championship games. Jones broke his right (throwing) wrist playing basketball during his junior season, which prevented him from attending any recruiting camps prior to his senior year – he also grew four inches during his junior year in high school. He initially committed to Princeton (his only scholarship offer), but a late push at Duke (his dream school) earned him a grayshirt opportunity – the Blue Devils’ 2015 recruiting class was full, so head coach David Cutcliffe asked him to walk on with the promise of a scholarship once a spot opened (he was awarded a scholarship the following July). After redshirting in 2015, Jones was set to be the backup in 2016 before incumbent starter Thomas Sirk suffered a partial tear of his Achilles in August, thrusting Jones into the role. He has six siblings who played Division I sports, including a younger sister (Ruthie) who recently signed with Duke soccer as one of the top goalkeeper recruits in the country. Jones elected skip his senior season and enter the 2019 NFL Draft, accepting an invitation to the 2019 Senior Bowl.","Tall, average-sized frame…quick trigger to read and fire…recognizes coverage assignments and finds the out…has a pre-snap plan…slightly above- average arm strength…understands placement on downfield routes (posts, corners, etc.), setting the school record with 10 career touchdown passes of 50-plus yards…places the ball where his receiver can attack and make a move (holds the Duke career record with a 26.3 completion-to-interception ratio)…not a twitchy athlete, but mobility is an asset (comfortable throwing off platform)…excellent pocket movement, stepping up and keeping his eyes elevated…stronger and tougher than he looks to brush off contact – missed only two games following left shoulder surgery (September 2018)…graduated with a degree in economics (December 2018)…two-time team captain with “impeccable character,” according to Cutcliffe.","YEAR (GP/GS) CP-ATT          CP%     YDS       TD     INT     CAR   YDS     AVG TD           NOTES 2015: Redshirted 2016: (12/12) 270-430        62.8    2,836     16     9       141   486     3.4   7 2017: (13/13) 257-453        56.7    2,691     14     11      161   518     3.2   7          Team captain 2018: (11/11) 237-392        60.5    2,674     22     9       104   319     3.1   3          Team captain; set the Duke record for single-game total yards (547) vs. UNC Total: (36/36) 764-1,275     59.9    8,201     52     29      406   1,323   3.3   17              HT       WT     ARM       HAND          WING     40-YD 20-YD 10-YD          VJ           BJ       SS     3C     BP COMBINE     6051     221    32 1/2    09 3/4        78 1/8   4.81  2.83  1.71           33 1/2       10’00”   4.41   7.00   - PRO DAY                                                      4.71  2.63  1.62           -            -        -      -      -     (stood on Combine jumps, shuttle, 3-cone)  ",11,11,237,392,60.5,2674,22,9,104,319,3.0673076923076925,3,.,.,.,.,.,.,.,.,.,.,32.5,9.75,78.125,4.81,2.83,1.71,33.5,120,4.41,7,.,2019,2019,"New York Giants",1,6,"JoneDa05"
"WILL GRIER","QB","West Virginia",7,"4/3/1995","24.08","rSR",74.5,217,"Charlotte, N.C.","Davidson Day",4,"A four-star quarterback recruit out of high school, William “Will” Grier had a prolific high school football career, earning North Carolina Player of the Year honors both his junior and senior seasons. He finished his career at Davidson with 14,565 yards and a state-record 195 touchdown passes, earning Mr. Football USA in 2013 with 4,989 yards and a national-best 77 touchdowns (also set the national record with 837 yards in a playoff win). Grier was considered the best recruit in the state and a top-five quarterback in the country, committing to Florida over Auburn, North Carolina and Tennessee. After redshirting in 2014, he started five games in 2015 (and went 5-0) before he was suspended for a full-year due to a failed NCAA drug test (October 2015). Grier didn’t want to transfer, but first-year Florida head coach Jim McElwain thought it was best if they parted ways and got a fresh start. He received interest from Ohio State and Oregon as a transfer quarterback, but connected well with Dana Holgorsen and committed to West Virginia, sitting out the 2016 season. Grier was coached in high school by his father (Chad), who played quarterback collegiately at Richmond and East Carolina. Grier’s wife (Jeanne) is a former Tampa Bay Buccaneers cheerleader and they have a 3- year old daughter (Eloise). His two younger brothers (Hayes and Nash) are social media mavens with millions of followers. Grier sat out his bowl game, but accepted an invitation to the 2019 Senior Bowl.","Balanced steps and delivery…efficient load and fire throwing motion…good enough arm strength and throws a pretty deep ball…puts the ball in a place where his receivers can catch and run…processes things quickly to make snap decisions…nimble athlete and floats well to avoid the rush…smart scrambler and stays composed when the play breaks down…was given freedom to make checks at the line of scrimmage based on pre-snap reads…doesn’t lack for confidence and well- liked by his teammates and coaches at West Virginia…married with a family and more mature than the average prospect due to his life experiences…graduated with his degree in multidisciplinary studies (December 2017)…20-7 career record as a starter…leaves Morgantown No. 2 in school history in touchdown passes (71) and completion percentage (65.7 percent).","YEAR (GP/GS) CP-ATT          CP% YDS        TD    INT     CAR    YDS    AVG TD            NOTES 2014: Redshirted                                                                          Florida 2015: (6/5)     106-161      65.8 1,204     10    3       36     116    3.2     2         Florida 2016: Sat out due to transfer rules                                                       WVU 2017: (11/11) 250-388        64.4 3,490     34    12      63     122    1.9     2         WVU; Big 12 Offensive Newcomer of the Year; All-Big 12 Honorable Mention 2018: (11/11) 266-397        67.0 3,864     37    8       48     -90    -1.9    3         WVU; Second Team All-Big 12; Maxwell Award Finalist; Manning Award Finalist Total: (28/27) 622-946       65.8 8,558     81    23      147    148    1.0     7              HT      WT ARM         HAND WING 40-YD 20-YD 10-YD                       VJ          BJ       SS     3C       BP COMBINE     6024 217 31 1/2 09 3/8 75 1/8 4.84                 2.81 1.68             34          09’04”   4.28   7.09     - PRO DAY     N/A (stood on Combine numbers; positional drills only)  ",11,11,266,397,67,3864,37,8,48,-90,-1.875,3,.,.,.,.,.,.,.,.,.,.,31.5,9.375,75.125,4.84,2.81,1.68,34,112,4.28,7.09,.,2019,2019,"Carolina Panthers",3,100,"GrieWi00"
"RYAN FINLEY","QB","NC State",15,"12/26/1994","24.35","rSR",76,213,"Phoenix, Ariz.","Paradise Valley",3,"A three-star quarterback recruit out of high school, Ryan Finley grew up playing basketball as his main sport and was a three-year starting guard in high school, winning the Division II state title his senior year. He was also a member of Team USA Roller Hockey for 10 years and played tennis and high jumped at Paradise Valley, but he started playing football as a freshman and it quickly became his go-to sport. As a senior, Finley threw for 3,442 yards and 35 touchdowns and earned First Team All-State honors. Rated as a top-10 recruit in Arizona, he received interest from Pac-12 programs, but he committed to Boise State once it offered and stuck to that pledge. After redshirting in 2013 and playing sparingly in 2014, Finley started the first three games of 2015 before a season-ending ankle injury. The following spring, Brett Rypien won the starting job and Finley elected to transfer to NC State over North Texas, primarily because of Eliah Drinkwitz, who was Boise State’s offensive coordinator in 2015 before taking the same post for the Wolfpack in 2016. As a graduate, Finley was eligible immediately in 2016 and was awarded a sixth year of eligibility due to his season-ending injury in 2015. Finley accepted his invitation to the 2019 Senior Bowl.","Tall passer with an over-the-top delivery…calm in the pocket, feels the rush and makes throws while staring down the gun barrel…efficient with his reads, showing matured eye use…comfortable making accurate, layered throws between levels of the defense…anticipates well and delivers before the receiver is out                                                                                      [5]  of his break…not a threat with his legs, but he isn’t a statue either and is comfortable making throws on the move…senior captain…led the ACC in passing in 2018 and was one of only three FBS passers with 3,800-plus passing yards and 300-plus completions…holds three academic degrees: graduated magna cum laude (3.8 GPA) from Boise State with a degree in psychology (May 2016); graduated from NC State (3.7 GPA) with his master’s in liberal studies (May 2018).","YEAR (GP/GS) CP-ATT          CP%    YDS     TD    INT     CAR    YDS      AVG TD          NOTES 2013: Redshirted                                                                          Boise State 2014: (5/0)     12-27        44.4   161    2      1       7      31       4.4   0         Boise State 2015: (3/3)     46-70        65.7   485    1      4       22     42       1.9   0         Boise State 2016: (13/13) 243-402        60.4   3,059 18      8       74     94       1.3   1         NC State 2017: (13/13) 312-479        65.1   3,518 17      6       69     194      2.8   3         NC State; Third Team All-ACC 2018: (13/13) 326-484        67.4   3,928 25      11      42     21       0.5   1         NC State; First Team All-ACC; Finalist for the William V. Campbell Trophy Total: (47/42) 939-1,462     64.2   11,151 63     30      214    382      1.8   5              HT      WT ARM         HAND WING 40-YD 20-YD 10-YD                       VJ          BJ       SS     3C       BP COMBINE     6040 213 32 7/8 09 1/2 77 1/8 4.73                 2.75 1.69             30 1/2      09’08”   4.20   7.20     - PRO DAY     N/A (stood on Combine numbers; positional drills only)  ",13,13,326,484,67.4,3928,25,11,42,21,0.5,1,.,.,.,.,.,.,.,.,.,.,32.875,9.5,77.125,4.73,2.75,1.69,30.5,116,4.2,7.2,.,2019,2019,"Cincinnati Bengals",4,104,"FinlRy00"
"JARRETT STIDHAM","QB","Auburn",8,"8/8/1996","22.73","rJR",74.375,218,"Stephenville, Texas","Stephenville",4,"A four-star quarterback recruit out of high school, Jarrett Stidham grew up in Kentucky and was part of a youth football state championship team (49ers) that included former Alabama RB Damien Harris. Along with his mother (Rochelle) and older brother (Juder), he moved to Stephenville, Texas at age 9. He developed a close bond with Matt and Katy Copeland (pillars in the Stephenville community), and once he turned 18 years old, Stidham moved in with the Copelands and their three daughters and considers them his family. At Stephenville, Stidham started at wide receiver as a sophomore and caught 11 touchdowns to earn Honorable Mention All-State honors. He took over as the starting quarterback as a junior and earned district MVP honors with 30 touchdown passes in 2013. As a senior, Stidham was named Second Team All-State despite missing two games with a hand injury, finishing with 50 scores (35 passing, 15 rushing). He also earned All- District honors in basketball and ran track in high school. Stidham originally committed to Texas Tech during his junior year in high school, but nine months later he decommitted and days later announced he was headed to Baylor (Art Briles won four state championships as the head coach at Stephenville). He spent most of the 2015 season as the Bears’ backup before starting three games late in the season when Seth Russell was injured. Briles was fired (May 2016) from Baylor amid scandal, and Stidham elected to transfer. For the 2016 season, he enrolled in online courses at Waco’s McLennan Community College and joined the Midway High School program as a scout team quarterback. Considered the No. 1 ranked JUCO recruit, Stidham hoped to stay in Texas (Texas A&M was his preferred destination), but his second recruitment led him to Auburn. After two seasons with the Tigers, he elected to leave school early for the 2019 NFL Draft and accepted his invitation to the 2019 Senior Bowl. Stidham is engaged to Kennedy Brown, a former Baylor soccer player and the daughter of Houston Rockets CEO Tad Brown.","Well-built frame with room to get stronger…above-average arm strength…able to add RPMs to thread the needle on tight-window throws…his tape is littered with examples of correct placement throws…holds the Auburn record for consecutive pass attempts (162) without an interception…smooth, repeatable throwing mechanics…strong-striding athlete to take the yardage when it is there…outstanding finishing toughness as a runner, lowering his shoulder and driving forward…moves well in the pocket and plays with a sense of control…graduated with his bachelor’s degree (May 2018) and started work on his master’s…named a 2018 team captain, and his leadership skills grew over his time at Auburn.","YEAR (GP/GS) CP-ATT         CP%       YDS     TD   INT      CAR    YDS    AVG TD           NOTES 2015: (10/3)     75-109     68.8      1,265   12   2        36     70     1.9 2            Baylor 2016: Did not play college football 2017: (14/14) 246-370 66.5            3,158   18   6        103    153    1.5    4         Auburn; SEC Newcomer of the Year; Second Team All-SEC 2018: (13/13) 224-369 60.7            2,794   18   5        72     1      0.0    3         Auburn; Team Captain; Bowl Game MVP Total: (37/30) 545-848 64.3           7,217   48   13       211    224    0.9    9              HT      WT ARM         HAND WING 40-YD 20-YD 10-YD                        VJ            BJ       SS     3C     BP COMBINE     6023 218 32            09 1/8 76 1/2 4.81          2.83 1.71              31            09’02”   4.33   7.28   - PRO DAY     N/A (stood on Combine numbers; positional drills only)  ",13,13,224,369,60.7,2794,18,5,72,1,0.013888888888888888,3,.,.,.,.,.,.,.,.,.,.,32,9.125,76.5,4.81,2.83,1.71,31,110,4.33,7.28,.,2019,2019,"New England Patriots",4,133,"StidJa00"
"TYREE JACKSON","QB","Buffalo",3,"11/7/1997","21.48","rJR",79,249,"Norton Shores, Mich.","Mona Shores",3,"A three-star quarterback recruit out of high school, Tyree Jackson was a four-year starting quarterback at Mona Shores, also earning a letter in basketball. He led the team to the 2014 state championship as a senior and rewrote the school record books, finishing his career ranked top-10 in Michigan history in passing yards (8,028), completions (475) and touchdown passes (85). Ranked as a top-25 recruit in Michigan, Jackson spurned instate offers from Western Michigan and Central Michigan to commit to Buffalo. After the 2018 season, he considered transferring before declaring for the 2019 NFL Draft. As a graduate junior, Jackson accepted his invitation to the 2019 Senior Bowl.","Tall-framed passer with adequate body thickness…rocket launcher for a right arm with the power in his delivery to zip frozen ropes…effortlessly unleashes his deep ball…small windows don’t intimidate him, trusting his arm strength…throws well on the run with the mobility to efficiently run RPO-style plays or boots…improved downfield touch to drop the ball over the shoulder of his vertical receiver…graduated with his degree in social sciences (December 2018)…set a school record with 35 total touchdowns (28 passing, 7 rushing) in 2018.","YEAR (GP/GS) CP-ATT          CP%    YDS       TD     INT     CAR   YDS    AVG TD             NOTES 2015: Redshirted 2016: (10/9)    165-311      53.1   1,772     9      9       99    399    4.0     5 2017: (8/8)     143-237      60.3   2,096     12     3       47    197    4.2     4 2018: (14/14) 225-407        55.3   3,131     28     12      55    161    2.9     7          MAC Offensive Player of the Year (first in Buffalo history); First Team All-MAC Total: (32/31) 533-955       55.8   6,999     49     24      201   757    3.8     16              HT      WT ARM         HAND WING 40-YD 20-YD 10-YD                          VJ           BJ       SS     3C      BP COMBINE     6070 249 34 1/4 10 1/4 83 3/4 4.59                 2.67 1.59                34 1/2       10’00”   4.28   7.09    - PRO DAY     N/A (stood on Combine numbers; positional drills only)  ",14,14,225,407,55.3,3131,28,12,55,161,2.9272727272727272,7,.,.,.,.,.,.,.,.,.,.,34.25,10.25,83.75,4.59,2.67,1.59,34.5,120,4.28,7.09,.,2019,.,.,.,.,"JackTy01"
"CLAYTON THORSON","QB","Northwestern",18,"12/25/1995","23.35","rSR",76,222,"Wheaton, Ill.","Wheaton North",4,"A four-star quarterback recruit out of high school, Clayton Thorson grew up participating in every sport, gravitating towards AAU basketball and football. He became the starting quarterback early in his high school career at Wheaton North, finishing his senior season with 2,809 passing yards, 630 rushing yards and 41 total touchdowns. Thorson was ranked as a top-10 quarterback recruit in the 2014 cycle and committed to Northwestern over Penn State, Boston College and Ole Miss. His father (Chad) was a four-year starting linebacker at Wheaton College (1986-89) and went undrafted, playing in the NFL for the New York Giants, Philadelphia Eagles and Indianapolis Colts. Thorson married his wife (Audrey) in June 2018. He accepted his invitation to the 2019 Senior Bowl, but was unable to participate due to an ankle injury.","Well-put-together athlete and passes the eye test…mobility is an important part of his game…above-average arm strength, making opposite hash strikes on a rope…made whole-field progression reads in college…his tape shows examples of him holding the safety with his eyes before hitting the post or slant…accuracy numbers increased on middle-of-the-field throws (crossers, digs, etc.)…four-year starter and became the school’s all-time leading passer (10,731 yards) in his final game…durable and didn’t miss a start over his career, posting a 36-17 record as a starter.","YEAR (GP/GS) CP-ATT          CP%    YDS       TD     INT     CAR   YDS    AVG TD             NOTES 2014: Redshirted 2015: (13/13) 150-295        50.8   1,522 7          9       100   397    4.0     5 2016: (13/13) 280-478        58.6   3,182 22         9       97    98     1.0     5 2017: (13/13) 262-434        60.4   2,844 15         12      87    23     0.3     8 2018: (14/14) 299-489        61.1   3,183 17         15      78    -110   -1.4    9 Total: (53/53) 991-1,696     58.4   10,731 61        45      362   408    1.1     27              HT     WT ARM              HAND        WING     40-YD 20-YD 10-YD           VJ           BJ       SS     3C      BP COMBINE     6040 222 31 1/8 09 3/4                 76 1/2   -     -     -               -            -        -      -       -     (no runs, jumps or 3-cone – ankle sprain) PRO DAY     N/A (positional drills only)  ",14,14,299,489,61.1,3183,17,15,78,-110,-1.4102564102564104,9,.,.,.,.,.,.,.,.,.,.,31.125,9.75,76.5,.,.,.,.,.,.,.,.,2019,2019,"Philadelphia Eagles",5,167,"ThorCl00"
"GARDNER MINSHEW","QB","Washington State",16,"5/16/1996","22.96","SR",72.875,225,"Brandon, Miss.","Brandon",3,"A three-star quarterback recruit out of high school, Gardner Minshew II was a three-year starting quarterback at Brandon and totaled 11,222 passing yards and 105 touchdowns over his career. As a senior, he passed for 3,541 yards and 31 touchdowns to earn All-State honors, graduating with a 4.0 GPA. He committed to Troy over UAB and Akron and technically walked on (January 2015) with the expectation of receiving a scholarship in the summer. Minshew participated in spring drills at Troy, but found himself behind Brandon Silvers and didn’t like the fit, leaving the program and signing with Northwest Mississippi Community College for the 2015 season. After winning the 2015 NJCAA National Title, Minshew transferred to East Carolina where he started seven games over two seasons. He graduated and looked to transfer for his final season, initially committing to Alabama where he was expected to be the third quarterback and get a head start on his coaching career. But Washington State, which was looking for a starting quarterback following the tragic suicide of Tyler Hilinski, made a late pitch and Minshew enrolled in June 2018 (Mike Leach’s pitch: “How’d you like to come and lead the country in passing yards?”). His father (Flint) played football at Millsaps College and his mother (Kim) played basketball at Mississippi State. Minshew accepted his invitation to the 2019 Senior Bowl.","Natural, quick mechanics from his footwork to his delivery…disciplined eyes, sees the whole field and processes things quickly…accurate within the WSU offense and always aware of his outlets…large hands to grip and get the ball out quickly…calm demeanor and plays with efficient rhythm…comfortable throwing from a confined pocket, but also able to reset and find second-chance throws…engineered three fourth-quarter game-winning drives in 2018…charismatic and his best traits are his “presence” and “leadership qualities,” according to Leach…graduated with his degree in communications (December 2017) at East Carolina…awesome production in 2018, leading the FBS in passing yards per game (367.6) and finishing third in completion percentage (70.7).","YEAR (GP/GS) CP-ATT         CP% YDS      TD INT           CAR    YDS    AVG TD           NOTES 2015: Northwest Mississippi Community College 2016: (7/2)    119-202      58.9 1,347 8      4           20     -36    -1.8   0         East Carolina 2017: (10/5)   174-304      57.2 2,140 16 7               18     -40    -2.2   0         East Carolina 2018: (13/13) 468-662       70.7 4,779 38 9               58     119    2.1    4         WSU; Johnny Unitas Golden Arm Award; Pac-12 Offensive Player of the Year Total: (30/20) 761-1,168 65.2 8,266 62 20                 96     43     0.4    4              HT      WT ARM         HAND WING 40-YD 20-YD 10-YD                      VJ           BJ       SS     3C     BP COMBINE     6007 225 31 3/4 10 1/8 74 3/8 4.97                 2.85 1.67            33 1/2       09’08”   4.45   7.14   - PRO DAY     N/A (stood on Combine numbers; positional drills only)  ",13,13,468,662,70.7,4779,38,9,58,119,2.0517241379310347,4,.,.,.,.,.,.,.,.,.,.,31.75,10.125,74.375,4.97,2.85,1.67,33.5,116,4.45,7.14,.,2019,2019,"Jacksonville Jaguars",6,178,"MinsGa00"
